"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","lib","lib/web"
"Please enter a valid time, between 00:00 and 23:59","Please enter a valid time, between 00:00 and 23:59","lib","lib/web"
"Please enter a valid time, between 00:00 am and 12:00 pm","Please enter a valid time, between 00:00 am and 12:00 pm","lib","lib/web"
"Please specify a valid phone number","Please specify a valid phone number","lib","lib/web"
"Please specify a valid mobile number","Please specify a valid mobile number","lib","lib/web"
"Please enter at least {0} characters","Please enter at least {0} characters","lib","lib/web"
"Please enter a valid credit card number.","Please enter a valid credit card number.","module","Magento_Payment"
"Please enter a valid IP v4 address.","Please enter a valid IP v4 address.","lib","lib/web"
"Please enter a valid IP v6 address.","Please enter a valid IP v6 address.","lib","lib/web"
"Invalid format.","Invalid format.","lib","lib/web"
"HTML tags are not allowed.","HTML tags are not allowed.","lib","lib/web"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","lib","lib/web"
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","lib","lib/web"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","lib","lib/web"
"Please enter a valid fax number (Ex: 123-456-7890).","Please enter a valid fax number (Ex: 123-456-7890).","lib","lib/web"
"Please enter a valid email address (Ex: johndoe@domain.com).","Please enter a valid email address (Ex: johndoe@domain.com).","lib","lib/web"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Please enter 6 or more characters. Leading and trailing spaces will be ignored.","lib","lib/web"
"Please enter 7 or more characters, using both numeric and alphabetic.","Please enter 7 or more characters, using both numeric and alphabetic.","lib","lib/web"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","module","Magento_Ui"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","module","Magento_Ui"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","lib","lib/web"
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Please enter a valid URL. For example http://www.example.com or www.example.com.","lib","lib/web"
