"Backup options","Opciones de copia de seguridad","lib","lib/web"
"Warning","Advertencia","lib","lib/web"
"Cancel","Cancelar","module","Magento_MultipleWishlist"
"Ok","Aceptar","module","Magento_Ui"
"Insert Widget...","Insertar aplicación...","lib","lib/web"
"No records found.","No hay registros encontrados.","module","Magento_Backend"
"Recent items","Elementos recientes","lib","lib/web"
"Show all...","Mostrar todo...","lib","lib/web"
"Method %s does not exist on jQuery.decorate","Método %s no existe en jQuery.decorate","lib","lib/web"
"Close","Cerrar","module","Magento_Bundle"
"Please wait...","Por favor, espere...","module","Magento_VersionsCms"
"Loading...","Cargando...","module","Magento_Checkout"
"All","Todo","module","Magento_Integration"
"more","más","module","Magento_TargetRule"
"Save","Guardar","module","Magento_MultipleWishlist"
"Translate","Traducir","lib","lib/web"
"Submit","Enviar","module","Magento_Rma"
"Please enter a value less than or equal to %s.","Por favor, introduzca un valor menor o igual a %s.","lib","lib/web"
"Please enter a value greater than or equal to %s.","Por favor, introduzca un valor mayor o igual a %s.","lib","lib/web"
"Maximum length of this field must be equal or less than %1 symbols.","Longitud máxima de este campo debe ser igual o inferior a %1 símbolos.","lib","lib/web"
"This is a required field.","Este es un campo obligatorio.","module","Magento_Ui"
"Please enter a date between %min and %max.","Por favor, introduzca una fecha entre % min y % max.","lib","lib/web"
"Please enter a valid year (1900-%1).","Por favor, introduzca un año válido (1900-%1).","lib","lib/web"
"Please enter a valid day (1-%1).","Por favor, introduzca un día válido (1-%1).","lib","lib/web"
"Please enter a date from the past.","Por favor, introduzca una fecha del pasado.","lib","lib/web"
"Now Shopping by","Ahora comprando por","module","Magento_LayeredNavigation"
"Previous","Anterior","module","Magento_Review"
"Remove","Eliminar","module","Magento_Invitation"
"Remove This Item","Eliminar este artículo","module","Magento_Wishlist"
"Shop By","Comprar por","module","Magento_LayeredNavigation"
"Clear All","Eliminar todo","module","Magento_LayeredNavigation"
"Shopping Options","Opciones de compra","module","Magento_LayeredNavigation"
"Welcome to %store_name.","Bienvenido a %store_name.","module","Magento_Customer"
"Password:","Contraseña:","module","Magento_Customer"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","¿Olvidó la contraseña de su cuenta? Haga clic <a href=""%reset_url""> aquí</a> para restablecerla.","module","Magento_Customer"
"Order Status","Estado de pedido","module","Magento_Paypal"
"Manage Addresses","Gestionar direcciones","module","Magento_Customer"
"Order History","Historial de pedidos","module","Magento_Sales"
"About Us","Quiénes somos","theme","frontend/Magento/luma"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Su factura rectificada nº %creditmemo_id para el pedido nº %order_id","module","Magento_Sales"
"Billing Info","Información de facturación","module","Magento_Sales"
"Shipping Info","Información de envío","module","Magento_Sales"
"Payment Method","Método de pago","module","Magento_Paypal"
